event,universe,sample,daily_volatility_cutoff,horizon_days,signal_count,tradeable_count,stock_count,year_count,mean_gross_return,median_gross_return,gross_up_rate,mean_net_return,median_net_return,net_up_rate,mean_benchmark_return,mean_excess_return,median_excess_return,mean_net_return_ci95_low,mean_net_return_ci95_high
连续两日放量,全部沪深A股,同股至少间隔20日,0.015,1,33732,33650,4653,16,0.0020888820405524752,0.0,0.4761069836552749,0.00048642118275933155,-0.0015991204837340067,0.4561961367013373,0.0013649447341654863,0.0007239373063869887,-0.0018387735005630512,-0.0006014516946271886,0.0015742940601458518
连续两日放量,全部沪深A股,同股至少间隔20日,0.015,3,33732,33539,4653,16,0.004155215783403498,-0.0005087080991005299,0.4887444467634694,0.00254945060899593,-0.0021070150972928303,0.4683800948149915,0.0036339103872311024,0.000521305396172395,-0.003542463031344978,-0.0012212193793009183,0.006320120597292778
连续两日放量,全部沪深A股,同股至少间隔20日,0.015,5,33732,33499,4653,16,0.004258805394774533,-0.0009540953634448179,0.4896265560165975,0.0026528745680975212,-0.0025516901337395703,0.47413355622555897,0.004437417010902893,-0.0001786116161283608,-0.004851024982204022,-0.0016427844839954314,0.006948533620190473
连续两日放量,全部沪深A股,同股至少间隔20日,0.015,10,33732,33445,4653,16,0.005691725157847512,-2.5141476562962062e-05,0.49804156077141576,0.0040835029198258216,-0.0016242217560467065,0.4856630288533413,0.00571593630981948,-2.4211151971969493e-05,-0.0064425235232214995,-0.0023058581412440573,0.0104728639808957
连续两日放量,全部沪深A股,同股至少间隔20日,0.015,20,33732,33327,4653,16,0.009897303626219763,-6.946433507271088e-05,0.4980646322801332,0.00828235616152335,-0.0016684737369657698,0.4902931556995829,0.009580686216600316,0.0003166174096194473,-0.008704164856744745,-0.0030388047190222384,0.01960351704206894
连续两日放量,全部沪深A股,同股至少间隔20日,0.01,1,6170,6156,2208,16,0.001964207967870233,0.0,0.4787199480181936,0.00036194647894050827,-0.0015991204837340067,0.4571150097465887,0.0021000086561130623,-0.00013580068824282874,-0.0018303040254691316,-0.0014798495061173072,0.002203742463998324
连续两日放量,全部沪深A股,同股至少间隔20日,0.01,3,6170,6139,2208,16,0.00371873448053675,0.0,0.4956833360482163,0.0021136672923213616,-0.0015991204837341177,0.4665254927512624,0.003820595679142848,-0.00010186119860609788,-0.0030373074049829807,-0.0020087519178294514,0.006236086502472175
连续两日放量,全部沪深A股,同股至少间隔20日,0.01,5,6170,6128,2208,16,0.003394493136963793,-0.0001592757020634772,0.491677545691906,0.001789944449722588,-0.0017581414847597232,0.4720953002610966,0.004462851478142746,-0.0010683583411789526,-0.0040606642931358405,-0.0030911179841345256,0.006671006883579702
连续两日放量,全部沪深A股,同股至少间隔20日,0.01,10,6170,6122,2208,16,0.0034317804870637584,0.0,0.49950996406403136,0.001827172172857225,-0.0015991204837338957,0.48627899379287814,0.00557880989047307,-0.0021470294034093102,-0.0057554883274284485,-0.004318116068247117,0.007972460413961567
连续两日放量,全部沪深A股,同股至少间隔20日,0.01,20,6170,6112,2208,16,0.004757181475060381,-0.0016586200455730449,0.4869109947643979,0.0031504536849847804,-0.0032550881960174416,0.47742146596858637,0.008285368100307593,-0.0035281866252472125,-0.00915071212719265,-0.0067827763534177975,0.013083683723387357
