sample,year,horizon_days,signal_count,tradeable_count,stock_count,mean_gross_return,median_gross_return,gross_up_rate,mean_net_return,mean_excess_return
全部沪深A股，日波动率不高于1.5%,2020,1,3453,3452,1500,0.005715389598152734,0.003112031946143734,0.5434530706836617,0.0041071295178398155,0.001402009677443877
全部沪深A股，日波动率不高于1.5%,2020,3,3453,3448,1500,0.007303376287701774,0.0027536187879798613,0.5348027842227379,0.0056925768253457,0.002466443546959533
全部沪深A股，日波动率不高于1.5%,2020,5,3453,3447,1500,0.009611325057940146,0.00020404877739355065,0.5050768784450247,0.007996834907430174,0.0034400083533203084
全部沪深A股，日波动率不高于1.5%,2020,10,3453,3444,1500,0.0031324271828583757,-0.005794322351233505,0.4573170731707317,0.001528297570652469,-0.0022046528977668683
全部沪深A股，日波动率不高于1.5%,2020,20,3453,3445,1500,0.013420314611271572,-0.002198083907248294,0.4896952104499274,0.011799733427544543,-0.0043827108993239475
全部沪深A股，日波动率不高于1.5%,2021,1,2891,2887,1403,0.0030609546855611385,0.0,0.4904745410460686,0.0014569393664896828,0.0026267286721524696
全部沪深A股，日波动率不高于1.5%,2021,3,2891,2880,1403,0.008021528299442797,0.0024508348740366337,0.5315972222222223,0.006409580425494312,0.008078985579701459
全部沪深A股，日波动率不高于1.5%,2021,5,2891,2881,1403,0.01162285269352775,0.003438423492554188,0.5400902464422076,0.010005145867972113,0.012406689986024129
全部沪深A股，日波动率不高于1.5%,2021,10,2891,2882,1403,0.023035828724371436,0.010429971713875719,0.5846634281748786,0.021399871175064512,0.026611096205435267
全部沪深A股，日波动率不高于1.5%,2021,20,2891,2880,1403,0.028618700361843826,0.011024783785878789,0.5586805555555555,0.026973815128143366,0.038003736732886
全部沪深A股，日波动率不高于1.5%,2022,1,1126,1126,688,0.0004837747994921862,-0.002213932966399046,0.43783303730017764,-0.0011161192984331912,0.0012543659915908026
全部沪深A股，日波动率不高于1.5%,2022,3,1126,1123,688,-0.00021440434132959834,-0.005220428286941359,0.43544078361531613,-0.0018131819666895707,0.003156456032297154
全部沪深A股，日波动率不高于1.5%,2022,5,1126,1123,688,-0.001380484123553368,-0.0068817518717873005,0.41585040071237755,-0.0029773970468479193,0.003726846978366003
全部沪深A股，日波动率不高于1.5%,2022,10,1126,1123,688,-0.009045091630789969,-0.017199137447595825,0.37399821905609976,-0.010629747923219914,0.002435299571975938
全部沪深A股，日波动率不高于1.5%,2022,20,1126,1122,688,-0.014454233548926762,-0.03076229290013105,0.357397504456328,-0.016030239971715994,0.0069729405021604525
全部沪深A股，日波动率不高于1.5%,2023,1,5068,5063,2309,0.002166238442149321,0.0,0.4712620975706103,0.0005636538821498378,0.0025245796187070416
全部沪深A股，日波动率不高于1.5%,2023,3,5068,5061,2309,0.0021045585116181743,-0.00294529546936384,0.4593953764078245,0.0005020725852590395,0.004388438635696
全部沪深A股，日波动率不高于1.5%,2023,5,5068,5061,2309,0.000442735076576619,-0.005630641005710424,0.4426002766251729,-0.0011570933938871918,0.0046001781531083
全部沪深A股，日波动率不高于1.5%,2023,10,5068,5059,2309,-0.0029529924835296458,-0.010438189548328869,0.4143111286815576,-0.004547390776494912,0.006482228078863803
全部沪深A股，日波动率不高于1.5%,2023,20,5068,5051,2309,-0.011047537653844844,-0.02026146533378992,0.3918036032468818,-0.012628991793821749,0.009987260264029093
全部沪深A股，日波动率不高于1.5%,2024,1,1361,1361,908,0.007611166552904721,0.0060119865562069386,0.5723732549595886,0.005999874896830867,-0.0001399011435084337
全部沪深A股，日波动率不高于1.5%,2024,3,1361,1360,908,0.027222321278711374,0.003097768928695843,0.5235294117647059,0.0255796690234058,-0.005251731127481035
全部沪深A股，日波动率不高于1.5%,2024,5,1361,1359,908,0.01855973436165445,-0.001546572711313976,0.48933038999264167,0.016930934626530076,-0.013592114151567473
全部沪深A股，日波动率不高于1.5%,2024,10,1361,1360,908,0.0006100016133417733,-0.006924478621548158,0.4698529411764706,-0.000990094336467236,-0.03182506872664566
全部沪深A股，日波动率不高于1.5%,2024,20,1361,1361,908,0.023307476883296655,0.02411711066333,0.5686994856722998,0.02167108493585442,-0.041033615454700335
全部沪深A股，日波动率不高于1.5%,2025,1,3742,3740,2079,0.0023889175678664895,-0.0016821182904144805,0.4561497326203209,0.000785976917115768,0.0009224619438505335
全部沪深A股，日波动率不高于1.5%,2025,3,3742,3737,2079,0.0043772999580864195,-0.0022310682617815436,0.468022477923468,0.002771179644326005,-5.234326642456379e-06
全部沪深A股，日波动率不高于1.5%,2025,5,3742,3738,2079,0.0033584524321050788,-0.0031856783936433097,0.46869983948635635,0.0017539613782932592,-0.002624005519242807
全部沪深A股，日波动率不高于1.5%,2025,10,3742,3736,2079,0.00687870299874401,-0.0006310752755042115,0.4938436830835118,0.005268582640143203,-0.004417276242487639
全部沪深A股，日波动率不高于1.5%,2025,20,3742,3727,2079,0.01880834727831458,0.0009145742431571069,0.5041588408907969,0.017179149981182654,-0.006948301892508054
当日沪深300，不限波动率,2010,1,1214,1193,304,0.005190452569818668,0.0024449825956076587,0.537300922045264,0.003583031927060431,0.0006240097487253268
